course_id,title,description,category,difficulty,tags,duration_hours,instructor,rating_avg
C056,Linux System Administration,"Essential Linux skills: command line, shell scripting, user management, networking, and performance tuning.",DevOps,Intermediate,"linux, docker",5.4,Chris Johnson,4.6
C057,GitOps Workflow,"Declarative infrastructure management with Git: ArgoCD, Flux, pull-based deployments, and reconciliation loops.",DevOps,Beginner,"kubernetes, automation, devops, linux",59.8,Prof. Rachel Green,3.5
C058,Site Reliability Engineering,"SRE practices: SLOs, error budgets, incident management, chaos engineering, and toil reduction.",DevOps,Beginner,"devops, docker, ci-cd, kubernetes",75.7,Michael O'Brien,3.8
C059,Ansible Automation,"Configuration management and automation: playbooks, roles, inventories, vault, and integration with CI/CD.",DevOps,Beginner,"docker, ci-cd",5.3,Prof. Aisha Mohammed,4.2
C060,Jenkins Pipeline Mastery,"Build robust CI/CD pipelines: Jenkinsfiles, shared libraries, parallel stages, and plugin ecosystem.",DevOps,Advanced,"automation, kubernetes, ci-cd",21.5,Dr. Priya Sharma,4.6
C061,SQL Database Design,"Relational database fundamentals: normalization, ER diagrams, indexing, transactions, and query optimization.",Databases,Beginner,"database, sql, nosql",69.4,Dr. Lisa Wang,3.7
C062,MongoDB Essentials,"NoSQL document database: CRUD operations, aggregation framework, indexing, replication, and schema design patterns.",Databases,Intermediate,"sql, database, data-modeling",64.6,Prof. Emily Turner,3.9
C063,PostgreSQL Advanced Features,"Leverage PostgreSQL power: JSON operations, full-text search, partitioning, extensions, and performance tuning.",Databases,Beginner,"data-modeling, nosql",69.0,Prof. Emily Turner,3.3
C064,Redis for Caching,"In-memory data store: data structures, caching patterns, pub/sub messaging, streams, and cluster configuration.",Databases,Intermediate,"database, sql",66.0,Prof. Emily Turner,3.3
C065,Database Performance Tuning,"Optimize query performance: execution plans, indexing strategies, query rewriting, and connection pooling.",Databases,Intermediate,"nosql, performance, data-modeling",27.6,Alex Rodriguez,4.5
C066,Graph Databases with Neo4j,"Model connected data: Cypher query language, graph algorithms, recommendations, and knowledge graph construction.",Databases,Advanced,"database, postgresql, nosql",78.5,Prof. Rachel Green,4.8
C067,Data Modeling Best Practices,"Design effective database schemas: entity relationships, denormalization trade-offs, and migration strategies.",Databases,Beginner,"database, performance",47.3,Raj Patel,4.0
C068,Elasticsearch Deep Dive,"Full-text search engine: indexing, analyzers, aggregations, geo-queries, and observability use cases.",Databases,Intermediate,"performance, postgresql, database",29.0,Chris Johnson,4.6
C069,Database Migration Strategies,"Safely evolve database schemas: version control, zero-downtime migrations, rollback plans, and data transformation.",Databases,Intermediate,"database, data-modeling, postgresql",72.2,David Kim,4.2
C070,Distributed Databases,"Understand CAP theorem, eventual consistency, sharding, replication, and databases like CockroachDB and Cassandra.",Databases,Advanced,"postgresql, sql, nosql, performance",74.2,Prof. Rachel Green,3.6
C071,Introduction to AI,"Artificial intelligence foundations: search algorithms, knowledge representation, reasoning, planning, and ethical considerations.",Artificial Intelligence,Beginner,"generative-ai, ai, chatbot, llm",76.0,Chris Johnson,4.2
C072,Generative AI Fundamentals,"Understanding large language models, prompt engineering, fine-tuning, RAG architectures, and responsible AI usage.",Artificial Intelligence,Intermediate,"chatbot, generative-ai, nlp",54.0,Chris Johnson,4.9
C073,AI Ethics and Governance,"Bias detection, fairness metrics, explainable AI, regulatory compliance, and responsible AI development frameworks.",Artificial Intelligence,Beginner,"chatbot, nlp, generative-ai, ethics",34.8,Dr. Robert Lee,4.0
C074,Conversational AI,"Build chatbots and virtual assistants: intent recognition, dialogue management, and integration with messaging platforms.",Artificial Intelligence,Advanced,"nlp, llm, generative-ai",67.0,Dr. Maria Garcia,4.9
C075,AI for Healthcare,"Medical image analysis, drug discovery, clinical NLP, patient outcome prediction, and healthcare AI regulations.",Artificial Intelligence,Intermediate,"llm, nlp, ai, ethics",36.5,David Kim,2.5
C076,AI in Finance,"Algorithmic trading, fraud detection, credit scoring, risk assessment, and regulatory technology applications.",Artificial Intelligence,Advanced,"ai, nlp, generative-ai",53.8,Laura Wilson,4.5
C077,Knowledge Graphs,"Build and query knowledge graphs: ontology design, entity resolution, graph embeddings, and reasoning over graphs.",Artificial Intelligence,Beginner,"ai, nlp",64.9,Michael O'Brien,4.1
C078,Edge AI and IoT,"Deploy AI models on edge devices: model compression, TensorFlow Lite, ONNX Runtime, and real-time inference.",Artificial Intelligence,Intermediate,"llm, ethics, nlp",49.7,Alex Rodriguez,3.8
C079,AI Project Management,"Lead AI projects: problem framing, data strategy, team structure, model lifecycle, and stakeholder communication.",Artificial Intelligence,Advanced,"nlp, chatbot, ai",56.3,Nina Kowalski,4.1
C080,Prompt Engineering Mastery,"Craft effective prompts for LLMs: chain-of-thought reasoning, few-shot learning, system prompts, and evaluation.",Artificial Intelligence,Beginner,"chatbot, ethics",62.7,Prof. Emily Turner,2.8
C081,Cybersecurity Fundamentals,"Security principles: CIA triad, threat modeling, risk assessment, security controls, and incident response planning.",Cybersecurity,Intermediate,"network-security, hacking",5.9,Prof. Emily Turner,3.9
C082,Ethical Hacking,"Penetration testing methodology: reconnaissance, scanning, exploitation, post-exploitation, and report writing.",Cybersecurity,Intermediate,"encryption, network-security, compliance, pentesting",54.1,Prof. Rachel Green,4.2
C083,Network Security,"Secure network infrastructure: firewalls, IDS/IPS, VPNs, network segmentation, and traffic analysis.",Cybersecurity,Intermediate,"encryption, hacking, pentesting",72.0,Nina Kowalski,4.9
C084,Web Application Security,"OWASP Top 10 vulnerabilities: XSS, SQL injection, CSRF, authentication flaws, and secure coding practices.",Cybersecurity,Advanced,"network-security, security, encryption",39.8,Prof. Emily Turner,3.7
C085,Security Operations Center,"SOC operations: SIEM tools, log analysis, threat hunting, incident response, and forensic investigation.",Cybersecurity,Beginner,"security, hacking, compliance, pentesting",23.2,Chris Johnson,3.5
C086,Cryptography Essentials,"Encryption algorithms, digital signatures, PKI, certificate management, and cryptographic protocol design.",Cybersecurity,Intermediate,"network-security, pentesting",56.1,David Kim,3.7
C087,Cloud Security Architecture,"Secure cloud deployments: identity federation, data encryption, network security groups, and compliance automation.",Cybersecurity,Intermediate,"hacking, network-security",44.3,Sophia Martinez,4.5
C088,Malware Analysis,"Reverse engineering malware: static analysis, dynamic analysis, sandboxing, and threat intelligence integration.",Cybersecurity,Intermediate,"security, compliance, network-security, hacking",72.6,Dr. Ahmed Hassan,4.2
C089,Security Compliance,"Regulatory frameworks: GDPR, HIPAA, PCI-DSS, SOC 2, and building compliance programs.",Cybersecurity,Beginner,"network-security, compliance, hacking",75.5,Dr. Maria Garcia,3.7
C090,Zero Trust Security,"Implement zero trust architecture: identity verification, micro-segmentation, least privilege, and continuous monitoring.",Cybersecurity,Intermediate,"security, network-security, encryption",19.1,Sophia Martinez,4.3
C091,Android App Development,"Build Android apps with Kotlin: activities, fragments, Jetpack Compose, Room database, and Material Design 3.",Mobile Development,Advanced,"android, react-native, app-development, ios",55.0,Dr. Robert Lee,4.1
C092,iOS App Development,"Create iOS apps with Swift: SwiftUI, UIKit, Core Data, networking, and App Store submission process.",Mobile Development,Advanced,"flutter, mobile, app-development, ios",4.1,Dr. Robert Lee,4.6
C093,React Native Cross-Platform,"Build mobile apps for iOS and Android: components, navigation, state management, and native module integration.",Mobile Development,Intermediate,"mobile, ios",12.6,Dr. Thomas Brown,3.6
C094,Flutter Development,"Cross-platform mobile development with Dart: widgets, state management, animations, and platform channel communication.",Mobile Development,Intermediate,"ios, react-native, app-development",27.5,Dr. Thomas Brown,3.8
C095,Mobile UI/UX Design,"Design mobile interfaces: layout patterns, touch targets, accessibility, animation principles, and design systems.",Mobile Development,Intermediate,"mobile, flutter, app-development",21.7,Alex Rodriguez,3.8
C096,Mobile App Testing,"Quality assurance for mobile: unit testing, integration testing, UI automation, performance testing, and crash reporting.",Mobile Development,Intermediate,"mobile, app-development, android, flutter",19.5,Alex Rodriguez,3.1
C097,Mobile Backend Services,"Backend-as-a-Service: Firebase, Supabase, push notifications, analytics, and real-time synchronization.",Mobile Development,Beginner,"react-native, mobile",50.5,Prof. Emily Turner,4.2
C098,Mobile App Performance,"Optimize mobile apps: memory management, battery efficiency, network optimization, and rendering performance.",Mobile Development,Advanced,"ios, app-development, android, flutter",75.9,Dr. Thomas Brown,4.2
C099,Mobile Security,"Secure mobile applications: data storage encryption, secure communication, authentication, and code obfuscation.",Mobile Development,Advanced,"ios, mobile",77.2,Dr. Priya Sharma,4.0
C100,App Store Optimization,"Improve app visibility: keyword research, listing optimization, A/B testing, ratings management, and growth strategies.",Mobile Development,Advanced,"app-development, react-native, flutter, ios",4.0,Dr. Maria Garcia,3.9
